1	terrible	just the term
1	awful	related terms
1	horrendous	related terms
1	horrible	related terms
1	dreadful	related terms
1	It was terrible.	original term to sentence
1	It was awful.	related terms to sentence
1	It was horrendous.	related terms to sentence
1	It was horrible.	related terms to sentence
1	It was dreadful.	related terms to sentence
1	A terrible experience.	original term to sentence
1	An awful experience.	related terms to sentence
1	A horrendous experience.	related terms to sentence
1	A horrible experience.	related terms to sentence
1	A dreadful experience.	related terms to sentence
1	Just terrible.	original term to sentence
1	Just awful.	related terms to sentence
1	Just horrendous.	related terms to sentence
1	Just horrible.	related terms to sentence
1	Just dreadful.	related terms to sentence
1	Overall, it was terrible.	original term to sentence
1	Overall, it was awful.	related term to sentence
1	Overall, it was horrendous.	related term to sentence
1	Overall, it was horrible.	related term to sentence
1	Overall, it was dreadful.	related term to sentence
1	bad
1	unpleasant
1	unsatisfying
1	lousy
1	subpar
1	It was bad.
1	It was unpleasant.
1	It was unsatisfying.
1	It was lousy.
1	It was subpar.
1	A bad experience.
1	An unpleasant experience.
1	An unsatisfying experience.
1	A lousy experience.
1	A subpar experience.
1	Just bad.
1	Just unpleasant.
1	Just unsatisfying.
1	Just lousy.
1	Just subpar.
1	Overall, it was bad.
1	Overall, it was unpleasant.
1	Overall, it was unsatisfying.
1	Overall, it was lousy.
1	Overall, it was subpar.
2	good
2	nice
2	fine
2	pleasant
2	neat
2	It was good.
2	It was nice.
2	It was fine.
2	It was pleasant.
2	It was neat.
2	A good experience.
2	A nice experience.
2	A fine experience.
2	A pleasant experience.
2	A neat experience.
2	Just good.
2	Just nice.
2	Just fine.
2	Just pleasant.
2	Just neat.
2	Overall, it was good.
2	Overall, it was nice.
2	Overall, it was fine.
2	Overall, it was pleasant.
2	Overall, it was neat.
2	great
2	amazing
2	excellent
2	fantastic
2	outstanding
2	It was great.
2	It was amazing.
2	It was excellent.
2	It was fantastic.
2	It was outstanding.
2	A great experience.
2	An amazing experience.
2	An excellent experience.
2	A fantastic experience.
2	An outstanding experience.
2	Just great.
2	Just amazing.
2	Just excellent.
2	Just fantastic.
2	Just outstanding.
2	Overall, it was great.
2	Overall, it was amazing.
2	Overall, it was excellent.
2	Overall, it was fantastic.
2	Overall, it was outstanding.